merimee, osmtype, idOSM, osmUrl, wikidataUrl, desc
PA51000008,way,238184369,https://www.openstreetmap.org/way/238184369,,Château de Bignicourt sur Saulx
PA51000008,way,238184371,https://www.openstreetmap.org/way/238184371,,Chapelle
PA00108715,way,74544917,https://www.openstreetmap.org/way/74544917,https://www.wikidata.org/wiki/Q17354682,...
PA00108715,way,74545307,https://www.openstreetmap.org/way/74545307,,...
PA34000056,way,447773397,https://www.openstreetmap.org/way/447773397,,Église Saint-Étienne de La Livinière
PA34000056,way,447773983,https://www.openstreetmap.org/way/447773983,https://www.wikidata.org/wiki/Q22976747,Église paroissiale Saint-Etienne
PA00108943,node,5056456930,https://www.openstreetmap.org/node/5056456930,https://www.wikidata.org/wiki/Q3080130,Fours à chaux de la Veurière
PA00108943,way,539886818,https://www.openstreetmap.org/way/539886818,https://www.wikidata.org/wiki/Q3080130,Fours à chaux de la Veurière
PA00108658,way,27532467,https://www.openstreetmap.org/way/27532467,https://www.wikidata.org/wiki/Q17624875,Parc du Grand Blottereau
PA00108658,way,284552928,https://www.openstreetmap.org/way/284552928,https://www.wikidata.org/wiki/Q17624875,Château du Grand Blottereau
PA00086702,node,937176914,https://www.openstreetmap.org/node/937176914,https://www.wikidata.org/wiki/Q1459231,Victor Hugo
PA00086702,node,5313847663,https://www.openstreetmap.org/node/5313847663,,...
PA00107633,node,2063753076,https://www.openstreetmap.org/node/2063753076,https://www.wikidata.org/wiki/Q22960820,Immeubles
PA00107633,node,2063753080,https://www.openstreetmap.org/node/2063753080,,Immeubles
PA00092689,way,292331374,https://www.openstreetmap.org/way/292331374,https://www.wikidata.org/wiki/Q3402942,...
PA00092689,way,434928747,https://www.openstreetmap.org/way/434928747,,...
PA34000011,way,200576543,https://www.openstreetmap.org/way/200576543,,...
PA34000011,way,200576545,https://www.openstreetmap.org/way/200576545,,...
PA00086599,node,2527916266,https://www.openstreetmap.org/node/2527916266,https://www.wikidata.org/wiki/Q683208,Campo-Formio
PA00086599,node,5313588578,https://www.openstreetmap.org/node/5313588578,,...
PA00135696,node,206325488,https://www.openstreetmap.org/node/206325488,https://www.wikidata.org/wiki/Q1751300,Stèle commémorative
PA00135696,node,1967439773,https://www.openstreetmap.org/node/1967439773,https://www.wikidata.org/wiki/Q1751300,Pont Gisclard et stèle commémorative
PA00135696,way,80524807,https://www.openstreetmap.org/way/80524807,,Ligne de Cerdagne
PA00088702,node,4785118715,https://www.openstreetmap.org/node/4785118715,,Hôtel Cassini ou Pecci-Blunt
PA00088702,way,68571376,https://www.openstreetmap.org/way/68571376,https://www.wikidata.org/wiki/Q3145785,Hôtel de Cassini
PA00086600,node,5313588576,https://www.openstreetmap.org/node/5313588576,,...
PA00086600,node,5313588577,https://www.openstreetmap.org/node/5313588577,,...
PA00117269,node,4300869724,https://www.openstreetmap.org/node/4300869724,https://www.wikidata.org/wiki/Q22967042,Pont Perent sur le Guiers-Mort
PA00117269,way,430809063,https://www.openstreetmap.org/way/430809063,https://www.wikidata.org/wiki/Q22967042,Pont Perent sur le Guiers-Mort
PA66000018,way,64089951,https://www.openstreetmap.org/way/64089951,https://www.wikidata.org/wiki/Q15950369,Ancienne Église de l'Hôpital Militaire
PA66000018,way,64090161,https://www.openstreetmap.org/way/64090161,https://www.wikidata.org/wiki/Q15950369,Ancien Hôpital militaire
PA00086494,way,63200644,https://www.openstreetmap.org/way/63200644,,Chapelle de l'hôpital Saint-Louis
PA00086494,relation,983300,https://www.openstreetmap.org/relation/983300,,Hôpital Saint-Louis
PA00089128,way,95904518,https://www.openstreetmap.org/way/95904518,https://www.wikidata.org/wiki/Q22924926,...
PA00089128,way,452899456,https://www.openstreetmap.org/way/452899456,https://www.wikidata.org/wiki/Q22924926,...
PA00101911,way,82836135,https://www.openstreetmap.org/way/82836135,https://www.wikidata.org/wiki/Q22953125,...
PA00101911,way,82850638,https://www.openstreetmap.org/way/82850638,,...
PA00101911,relation,3521484,https://www.openstreetmap.org/relation/3521484,https://www.wikidata.org/wiki/Q22953125,...
PA47000051,way,422929986,https://www.openstreetmap.org/way/422929986,https://www.wikidata.org/wiki/Q22979401,Château de Guillery
PA47000051,way,422929987,https://www.openstreetmap.org/way/422929987,https://www.wikidata.org/wiki/Q22979401,Château de Guillery
PA00092116,way,318462420,https://www.openstreetmap.org/way/318462420,https://www.wikidata.org/wiki/Q2240741,Château d'Effiat
PA00092116,way,318462425,https://www.openstreetmap.org/way/318462425,,Château d'Effiat
PA00103469,node,4739842739,https://www.openstreetmap.org/node/4739842739,https://www.wikidata.org/wiki/Q2084520,Château de Laroque
PA00103469,way,83594034,https://www.openstreetmap.org/way/83594034,,Chapelle Saint-Jean de Laroque
PA00103469,way,83596420,https://www.openstreetmap.org/way/83596420,,...
PA00085183,way,44502668,https://www.openstreetmap.org/way/44502668,https://www.wikidata.org/wiki/Q643186,...
PA00085183,relation,226986,https://www.openstreetmap.org/relation/226986,https://www.wikidata.org/wiki/Q643186,Palais du Rhin
PA00092843,way,292205623,https://www.openstreetmap.org/way/292205623,https://www.wikidata.org/wiki/Q22932568,Chapelle du Château de Flaghac
PA00092843,way,292205634,https://www.openstreetmap.org/way/292205634,,Château de Flaghac
PA00086725,node,2180096943,https://www.openstreetmap.org/node/2180096943,https://www.wikidata.org/wiki/Q567806,Rome
PA00086725,node,5313847661,https://www.openstreetmap.org/node/5313847661,,...
PA00108902,way,126915834,https://www.openstreetmap.org/way/126915834,https://www.wikidata.org/wiki/Q22962136,...
PA00108902,way,126923737,https://www.openstreetmap.org/way/126923737,,...
PA00086657,node,411533639,https://www.openstreetmap.org/node/411533639,https://www.wikidata.org/wiki/Q1578103,Pasteur - sortie
PA00086657,node,5313588570,https://www.openstreetmap.org/node/5313588570,,...
PA50000031,node,2199502251,https://www.openstreetmap.org/node/2199502251,https://www.wikidata.org/wiki/Q3286186,Manoir de Gonneville
PA50000031,way,129172816,https://www.openstreetmap.org/way/129172816,https://www.wikidata.org/wiki/Q3286186,Chapelle des Marins de Gonneville
PA00087709,way,74621460,https://www.openstreetmap.org/way/74621460,https://www.wikidata.org/wiki/Q22923967,...
PA00087709,way,74624446,https://www.openstreetmap.org/way/74624446,,...
PA00087709,way,74628867,https://www.openstreetmap.org/way/74628867,,...
PA00087709,way,74631055,https://www.openstreetmap.org/way/74631055,,...
PA00087709,way,74631870,https://www.openstreetmap.org/way/74631870,,...
PA00135239,way,141615080,https://www.openstreetmap.org/way/141615080,https://www.wikidata.org/wiki/Q3535521,Tour Saint-Paul
PA00135239,way,198085167,https://www.openstreetmap.org/way/198085167,,Tour Saint-Pierre
PA17000015,way,427851134,https://www.openstreetmap.org/way/427851134,,Hopital Saint-Honoré
PA17000015,relation,308616,https://www.openstreetmap.org/relation/308616,https://www.wikidata.org/wiki/Q22995915,Citadelle et Forteresse de Saint-Martin-de-Ré
PA00084274,way,119681995,https://www.openstreetmap.org/way/119681995,,Porte de Paris
PA00084274,way,119789596,https://www.openstreetmap.org/way/119789596,,Porte de Pujols
PA00086545,node,5313368608,https://www.openstreetmap.org/node/5313368608,,...
PA00086545,node,5313368609,https://www.openstreetmap.org/node/5313368609,,...
PA00107295,node,5041464913,https://www.openstreetmap.org/node/5041464913,,...
PA00107295,way,147234234,https://www.openstreetmap.org/way/147234234,https://www.wikidata.org/wiki/Q334277,Abbatiale Saint-Gondelbert
PA00082125,way,95875666,https://www.openstreetmap.org/way/95875666,https://www.wikidata.org/wiki/Q22671220,Porte Notre-Dame
PA00082125,way,95881430,https://www.openstreetmap.org/way/95881430,https://www.wikidata.org/wiki/Q22671220,...
PA00082125,way,95888893,https://www.openstreetmap.org/way/95888893,https://www.wikidata.org/wiki/Q22671220,Chapelle Notre-Dame
PA00082125,way,127482277,https://www.openstreetmap.org/way/127482277,https://www.wikidata.org/wiki/Q22671220,...
PA00109302,way,151751842,https://www.openstreetmap.org/way/151751842,https://www.wikidata.org/wiki/Q2820372,Église Saint-Barthélémy
PA00109302,way,151753329,https://www.openstreetmap.org/way/151753329,,...
PA00109302,way,151753355,https://www.openstreetmap.org/way/151753355,,...
PA00109302,way,151753563,https://www.openstreetmap.org/way/151753563,,...
PA00109302,way,151756994,https://www.openstreetmap.org/way/151756994,,...
PA00109302,way,151760088,https://www.openstreetmap.org/way/151760088,,...
PA00103951,way,30099965,https://www.openstreetmap.org/way/30099965,https://www.wikidata.org/wiki/Q3396343,Aqueduc Romain
PA00103951,way,107037145,https://www.openstreetmap.org/way/107037145,https://www.wikidata.org/wiki/Q3396343,Aqueduc Romain
PA00087191,node,4251284392,https://www.openstreetmap.org/node/4251284392,,Église
PA00087191,way,309421238,https://www.openstreetmap.org/way/309421238,https://www.wikidata.org/wiki/Q22923005,Église Saint-Ferréol
PA34000005,node,449578219,https://www.openstreetmap.org/node/449578219,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,97225241,https://www.openstreetmap.org/way/97225241,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,97674598,https://www.openstreetmap.org/way/97674598,https://www.wikidata.org/wiki/Q586271,Canal du Midi
PA34000005,way,200992894,https://www.openstreetmap.org/way/200992894,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,200995501,https://www.openstreetmap.org/way/200995501,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,200995502,https://www.openstreetmap.org/way/200995502,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,200995503,https://www.openstreetmap.org/way/200995503,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,200995504,https://www.openstreetmap.org/way/200995504,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,200995505,https://www.openstreetmap.org/way/200995505,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,451622433,https://www.openstreetmap.org/way/451622433,https://www.wikidata.org/wiki/Q586271,Canal du Midi
PA34000005,way,451622439,https://www.openstreetmap.org/way/451622439,https://www.wikidata.org/wiki/Q586271,Canal du Midi
PA34000005,way,462178785,https://www.openstreetmap.org/way/462178785,https://www.wikidata.org/wiki/Q586271,Canal du Midi
PA34000005,way,462178786,https://www.openstreetmap.org/way/462178786,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,462178787,https://www.openstreetmap.org/way/462178787,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,462178790,https://www.openstreetmap.org/way/462178790,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,462178791,https://www.openstreetmap.org/way/462178791,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,462178792,https://www.openstreetmap.org/way/462178792,https://www.wikidata.org/wiki/Q586271,...
PA34000005,way,462178793,https://www.openstreetmap.org/way/462178793,https://www.wikidata.org/wiki/Q586271,...
PA00117121,node,1957514820,https://www.openstreetmap.org/node/1957514820,https://www.wikidata.org/wiki/Q22966936,Château de Beauvoir - Donjon
PA00117121,node,1957514865,https://www.openstreetmap.org/node/1957514865,,Château de Beauvoir - Grande chapelle
PA00117121,way,185190923,https://www.openstreetmap.org/way/185190923,https://www.wikidata.org/wiki/Q22966936,Château de Beauvoir - Mur d'enceinte
PA00087740,way,74624354,https://www.openstreetmap.org/way/74624354,https://www.wikidata.org/wiki/Q22924009,...
PA00087740,way,74625737,https://www.openstreetmap.org/way/74625737,,Maison de quartier
PA00087740,way,74627416,https://www.openstreetmap.org/way/74627416,,...
PA00103765,way,208724829,https://www.openstreetmap.org/way/208724829,https://www.wikidata.org/wiki/Q15953512,Église Notre-Dame-d'Aix de Balaruc-les-Bains
PA00103765,way,208730249,https://www.openstreetmap.org/way/208730249,,Église Notre-Dame-d'Aix de Balaruc-les-Bains
PA00107333,way,121735882,https://www.openstreetmap.org/way/121735882,https://www.wikidata.org/wiki/Q22960595,Hôtel de l'Ermitage
PA00107333,way,121736585,https://www.openstreetmap.org/way/121736585,,Grand Hôtel
PA00086549,node,1291954620,https://www.openstreetmap.org/node/1291954620,,Père Lachaise - sortie 2 - avenue de la République
PA00086549,node,5313392784,https://www.openstreetmap.org/node/5313392784,,...
PA00091916,way,107813743,https://www.openstreetmap.org/way/107813743,https://www.wikidata.org/wiki/Q22927848,Maison du Poids public
PA00091916,way,310312782,https://www.openstreetmap.org/way/310312782,,Mesure publique
PA00091916,way,310312783,https://www.openstreetmap.org/way/310312783,,Pont du marché
PA00089115,node,1648624008,https://www.openstreetmap.org/node/1648624008,https://www.wikidata.org/wiki/Q3145930,...
PA00089115,way,95906262,https://www.openstreetmap.org/way/95906262,,...
PA00086699,node,5313588563,https://www.openstreetmap.org/node/5313588563,,...
PA00086699,node,5313588564,https://www.openstreetmap.org/node/5313588564,,...
PA00109847,way,44147632,https://www.openstreetmap.org/way/44147632,https://www.wikidata.org/wiki/Q22962609,...
PA00109847,way,67451448,https://www.openstreetmap.org/way/67451448,,...
PA00094627,way,305162356,https://www.openstreetmap.org/way/305162356,https://www.wikidata.org/wiki/Q1460090,Pont Neuf
PA00094627,way,315778508,https://www.openstreetmap.org/way/315778508,,Pont Neuf
PA00092181,way,321220309,https://www.openstreetmap.org/way/321220309,https://www.wikidata.org/wiki/Q18215262,Château de Mauzun
PA00092181,way,321220310,https://www.openstreetmap.org/way/321220310,,Château de Mauzun
PA00101697,node,4959496399,https://www.openstreetmap.org/node/4959496399,,École de Musique
PA00101697,relation,1302703,https://www.openstreetmap.org/relation/1302703,,Mairie d'Ornans
PA00086581,node,264490283,https://www.openstreetmap.org/node/264490283,https://www.wikidata.org/wiki/Q589686,Picpus
PA00086581,node,5313588579,https://www.openstreetmap.org/node/5313588579,,...
PA00105196,node,2108952383,https://www.openstreetmap.org/node/2108952383,https://www.wikidata.org/wiki/Q20971030,Les Pierres Closes (dolmen)
PA00105196,node,2108952425,https://www.openstreetmap.org/node/2108952425,,Les Pierres Closes (dolmen)
PA00113290,way,127343563,https://www.openstreetmap.org/way/127343563,https://www.wikidata.org/wiki/Q22965788,Fontaine de 1829
PA00113290,way,212787936,https://www.openstreetmap.org/way/212787936,https://www.wikidata.org/wiki/Q22965787,Fontaine aux Dauphins
PA00107690,node,2063753624,https://www.openstreetmap.org/node/2063753624,https://www.wikidata.org/wiki/Q22960878,Maisons
PA00107690,node,2063753627,https://www.openstreetmap.org/node/2063753627,,Maisons
PA00096860,node,5238456617,https://www.openstreetmap.org/node/5238456617,,Locature de la Gravière
PA00096860,relation,7745458,https://www.openstreetmap.org/relation/7745458,,Locature de la Gravière
PA34000074,way,135810920,https://www.openstreetmap.org/way/135810920,,Anciens entrepôts Dubonnet
PA34000074,way,135810974,https://www.openstreetmap.org/way/135810974,,Anciens entrepôts Dubonnet
PA34000074,way,135811399,https://www.openstreetmap.org/way/135811399,,Anciens entrepôts Dubonnet
PA34000074,way,135815861,https://www.openstreetmap.org/way/135815861,,Anciens entrepôts Dubonnet
PA34000074,way,135830813,https://www.openstreetmap.org/way/135830813,,Anciens entrepôts Dubonnet
PA00103031,node,2371274145,https://www.openstreetmap.org/node/2371274145,https://www.wikidata.org/wiki/Q22953569,Sépultures néolithiques de Cante-Perdrix
PA00103031,node,5548335960,https://www.openstreetmap.org/node/5548335960,,Sépultures néolithiques de Cante-Perdrix
PA00080902,node,1673389437,https://www.openstreetmap.org/node/1673389437,https://www.wikidata.org/wiki/Q2859215,Aqueduc de Clausonnes, d'Antipolis ou des Bouillides
PA00080902,way,154871305,https://www.openstreetmap.org/way/154871305,https://www.wikidata.org/wiki/Q2859215,Aqueduc de Clausonnes, d'Antipolis ou des Bouillides
PA00080902,way,154871311,https://www.openstreetmap.org/way/154871311,,Aqueduc de Clausonnes, d'Antipolis ou des Bouillides
PA00113155,way,288790429,https://www.openstreetmap.org/way/288790429,,...
PA00113155,relation,1967166,https://www.openstreetmap.org/relation/1967166,https://www.wikidata.org/wiki/Q22965667,Musée
PA00086698,node,993132899,https://www.openstreetmap.org/node/993132899,https://www.wikidata.org/wiki/Q274534,Église-d'Auteuil
PA00086698,node,5313588565,https://www.openstreetmap.org/node/5313588565,,...
PA00098312,way,70159280,https://www.openstreetmap.org/way/70159280,,La Vieille Donneterie
PA00098312,way,542288555,https://www.openstreetmap.org/way/542288555,,Ferme Industrielle
PA00094476,way,79024424,https://www.openstreetmap.org/way/79024424,https://www.wikidata.org/wiki/Q22938492,Église Saint-Sauveur
PA00094476,way,251317030,https://www.openstreetmap.org/way/251317030,https://www.wikidata.org/wiki/Q22938492,Saint-Pantaléon
PA00107155,node,4854284217,https://www.openstreetmap.org/node/4854284217,,...
PA00107155,way,100797487,https://www.openstreetmap.org/way/100797487,https://www.wikidata.org/wiki/Q22960463,...
PA00107610,node,2063752623,https://www.openstreetmap.org/node/2063752623,https://www.wikidata.org/wiki/Q22960792,Hôtel particulier
PA00107610,node,2063752626,https://www.openstreetmap.org/node/2063752626,,Hôtel particulier
PA00107610,node,2063752630,https://www.openstreetmap.org/node/2063752630,,Hôtel particulier
PA00107610,node,2063752633,https://www.openstreetmap.org/node/2063752633,,Hôtel particulier
PA00107610,node,2063752637,https://www.openstreetmap.org/node/2063752637,,Hôtel particulier
PA00108930,node,2905099065,https://www.openstreetmap.org/node/2905099065,https://www.wikidata.org/wiki/Q22962195,Maison
PA00108930,way,126917902,https://www.openstreetmap.org/way/126917902,https://www.wikidata.org/wiki/Q22962195,...
PA00112332,node,2628992076,https://www.openstreetmap.org/node/2628992076,https://www.wikidata.org/wiki/Q15950703,Hôtel de Vienne
PA00112332,way,257344265,https://www.openstreetmap.org/way/257344265,https://www.wikidata.org/wiki/Q15950703,Hôtel de Vienne
PA00087741,way,74619744,https://www.openstreetmap.org/way/74619744,https://www.wikidata.org/wiki/Q22924010,...
PA00087741,way,74620611,https://www.openstreetmap.org/way/74620611,,...
PA00087741,way,74622798,https://www.openstreetmap.org/way/74622798,,...
PA00087741,way,74623641,https://www.openstreetmap.org/way/74623641,,...
PA00087741,way,74624133,https://www.openstreetmap.org/way/74624133,,...
PA00087741,way,74625830,https://www.openstreetmap.org/way/74625830,,...
PA00107569,node,2063754374,https://www.openstreetmap.org/node/2063754374,https://www.wikidata.org/wiki/Q3557929,Vieille bourse du commerce
PA00107569,node,2063754381,https://www.openstreetmap.org/node/2063754381,,Vieille bourse du commerce
PA00107569,node,2063754387,https://www.openstreetmap.org/node/2063754387,,Vieille bourse du commerce
PA00107569,node,2063754395,https://www.openstreetmap.org/node/2063754395,,Vieille bourse du commerce
PA00107569,node,2063754402,https://www.openstreetmap.org/node/2063754402,,Vieille bourse du commerce
PA00107569,node,2063754408,https://www.openstreetmap.org/node/2063754408,,Vieille bourse du commerce
PA00107569,node,2063754416,https://www.openstreetmap.org/node/2063754416,,Vieille bourse du commerce
PA00107569,node,2063754422,https://www.openstreetmap.org/node/2063754422,,Vieille bourse du commerce
PA00107569,node,2063754429,https://www.openstreetmap.org/node/2063754429,,Vieille bourse du commerce
PA00107569,node,2063754435,https://www.openstreetmap.org/node/2063754435,,Vieille bourse du commerce
PA00107569,node,2063754439,https://www.openstreetmap.org/node/2063754439,,Vieille bourse du commerce
PA00107569,node,2063754453,https://www.openstreetmap.org/node/2063754453,,Vieille bourse du commerce
PA00107569,node,2063754461,https://www.openstreetmap.org/node/2063754461,,Vieille bourse du commerce
PA00107569,node,2063754468,https://www.openstreetmap.org/node/2063754468,,Vieille bourse du commerce
PA00107569,node,2063754473,https://www.openstreetmap.org/node/2063754473,,Vieille bourse du commerce
PA00107569,node,2063754480,https://www.openstreetmap.org/node/2063754480,,Vieille bourse du commerce
PA00107569,node,2063754487,https://www.openstreetmap.org/node/2063754487,,Vieille bourse du commerce
PA00107569,node,2063754497,https://www.openstreetmap.org/node/2063754497,,Vieille bourse du commerce
PA00107569,node,2063754504,https://www.openstreetmap.org/node/2063754504,,Vieille bourse du commerce
PA00107569,node,2063754510,https://www.openstreetmap.org/node/2063754510,,Vieille bourse du commerce
PA00107569,node,2063754518,https://www.openstreetmap.org/node/2063754518,,Vieille bourse du commerce
PA00107569,node,2063754548,https://www.openstreetmap.org/node/2063754548,,Vieille bourse du commerce
PA00107569,node,2063754556,https://www.openstreetmap.org/node/2063754556,,Vieille bourse du commerce
PA00107569,node,2063754565,https://www.openstreetmap.org/node/2063754565,,Vieille bourse du commerce
PA00089482,way,77969366,https://www.openstreetmap.org/way/77969366,https://www.wikidata.org/wiki/Q22925226,Chapelle du Château de Keralio
PA00089482,way,77996685,https://www.openstreetmap.org/way/77996685,https://www.wikidata.org/wiki/Q22925226,Château de Kéralio
PA00089074,node,2443190793,https://www.openstreetmap.org/node/2443190793,https://www.wikidata.org/wiki/Q22924871,Ancien couvent des Dominicaines
PA00089074,way,95906707,https://www.openstreetmap.org/way/95906707,https://www.wikidata.org/wiki/Q22924871,Ancien couvent des dominicaines
PA00109807,way,151507154,https://www.openstreetmap.org/way/151507154,https://www.wikidata.org/wiki/Q914087,Enceinte romaine
PA00109807,way,151507155,https://www.openstreetmap.org/way/151507155,,Enceinte romaine
PA00109807,way,151507156,https://www.openstreetmap.org/way/151507156,,Enceinte romaine
PA00107649,node,2063752819,https://www.openstreetmap.org/node/2063752819,https://www.wikidata.org/wiki/Q22960840,Immeubles
PA00107649,node,2063752821,https://www.openstreetmap.org/node/2063752821,,Immeubles
PA00117077,way,32665962,https://www.openstreetmap.org/way/32665962,https://www.wikidata.org/wiki/Q2055975,Passerelle Marc Seguin
PA00117077,way,439429160,https://www.openstreetmap.org/way/439429160,,Passerelle Marc Seguin
PA00102069,node,5303097291,https://www.openstreetmap.org/node/5303097291,,Croix de l'Entrée Sud-Ouest du Village
PA00102069,node,5303097292,https://www.openstreetmap.org/node/5303097292,,Croix de l'Entrée Nord du Village
PA00100585,way,509329499,https://www.openstreetmap.org/way/509329499,,Halles de Buchy
PA00100585,way,509329500,https://www.openstreetmap.org/way/509329500,,Halles de Buchy
PA00089108,way,95902894,https://www.openstreetmap.org/way/95902894,https://www.wikidata.org/wiki/Q22924908,...
PA00089108,way,95906575,https://www.openstreetmap.org/way/95906575,https://www.wikidata.org/wiki/Q22924908,...
PA00087736,way,74624998,https://www.openstreetmap.org/way/74624998,https://www.wikidata.org/wiki/Q22924004,...
PA00087736,way,74625503,https://www.openstreetmap.org/way/74625503,,...
PA00087736,way,74628035,https://www.openstreetmap.org/way/74628035,,...
PA00087736,way,74628525,https://www.openstreetmap.org/way/74628525,,...
PA73000013,way,208445253,https://www.openstreetmap.org/way/208445253,,Chapelle Saint-André
PA73000013,way,208445393,https://www.openstreetmap.org/way/208445393,https://www.wikidata.org/wiki/Q22998086,Ferme de Villarivon
PA00125492,node,2792745907,https://www.openstreetmap.org/node/2792745907,https://www.wikidata.org/wiki/Q949411,Château de Grézan
PA00125492,way,276382555,https://www.openstreetmap.org/way/276382555,https://www.wikidata.org/wiki/Q949411,Château de Grézan
PA90000007,node,4612633789,https://www.openstreetmap.org/node/4612633789,https://www.wikidata.org/wiki/Q22980762,École Jules Heidet
PA90000007,relation,2136957,https://www.openstreetmap.org/relation/2136957,https://www.wikidata.org/wiki/Q22980762,École
PA90000007,relation,7352037,https://www.openstreetmap.org/relation/7352037,https://www.wikidata.org/wiki/Q22980762,École Jules Heidet
PA75100008,way,76928239,https://www.openstreetmap.org/way/76928239,https://www.wikidata.org/wiki/Q1498170,Médiathèque Françoise-Sagan
PA75100008,way,76928245,https://www.openstreetmap.org/way/76928245,,Chapelle Saint-Lazare
PA75100008,way,76928254,https://www.openstreetmap.org/way/76928254,,...
PA75100008,way,76928260,https://www.openstreetmap.org/way/76928260,,...
PA00109880,way,301577635,https://www.openstreetmap.org/way/301577635,https://www.wikidata.org/wiki/Q2971680,Poterne
PA00109880,way,301578546,https://www.openstreetmap.org/way/301578546,,...
